Version;SupportBegin;SupportEnd
3.5.138;2025-06-04T00:00:00;2027-09-03T00:00:00
3.5.139;2025-06-14T00:00:00;2027-09-13T00:00:00
3.5.140;2025-06-15T00:00:00;2027-09-14T00:00:00
3.5.141;2025-06-22T00:00:00;2027-09-21T00:00:00
3.5.142;2025-06-22T00:00:00;2027-09-21T00:00:00
3.5.143;2025-06-28T00:00:00;2027-09-27T00:00:00
3.5.144;2025-06-29T00:00:00;2027-09-28T00:00:00
3.5.145;2025-06-29T00:00:00;2027-09-28T00:00:00
3.5.146;2025-06-29T00:00:00;2027-09-28T00:00:00
3.5.147;2025-07-03T00:00:00;2027-10-02T00:00:00
3.5.148;2025-07-25T00:00:00;2027-10-24T00:00:00
3.5.149;2025-08-10T00:00:00;2027-11-09T00:00:00
3.5.151;2025-08-10T00:00:00;2027-11-09T00:00:00
3.5.152;2025-08-10T00:00:00;2027-11-09T00:00:00
3.5.153;2025-08-12T00:00:00;2027-11-11T00:00:00
3.5.154;2025-08-26T00:00:00;2027-11-25T00:00:00
3.5.155;2025-09-02T00:00:00;2027-12-02T00:00:00
3.5.156;2025-09-06T00:00:00;2027-12-06T00:00:00
3.5.157;2025-09-06T00:00:00;2027-12-06T00:00:00
3.5.158;2025-09-06T00:00:00;2027-12-06T00:00:00
3.5.159;2025-09-07T00:00:00;2027-12-07T00:00:00
3.5.160;2025-09-13T00:00:00;2027-12-13T00:00:00
3.5.161;2025-09-15T00:00:00;2027-12-15T00:00:00
3.5.162;2025-09-17T00:00:00;2027-12-17T00:00:00
3.5.163;2025-09-18T00:00:00;2027-12-18T00:00:00
3.5.164;2025-09-20T00:00:00;2027-12-20T00:00:00
3.5.165;2025-09-21T00:00:00;2027-12-21T00:00:00
3.5.166;2025-09-21T00:00:00;2027-12-21T00:00:00
4.0.0;2025-09-23T00:00:00;2027-12-23T00:00:00
4.0.22;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.23;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.24;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.25;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.26;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.27;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.28;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.29;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.30;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.31;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.32;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.33;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.34;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.35;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.36;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.37;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.38;2025-10-04T00:00:00;2027-01-03T00:00:00
4.0.39;2025-10-05T00:00:00;2027-01-04T00:00:00
4.0.40;2025-10-05T00:00:00;2027-01-04T00:00:00
4.0.41;2025-10-05T00:00:00;2027-01-04T00:00:00
4.0.42;2025-10-05T00:00:00;2027-01-04T00:00:00
4.0.43;2025-10-05T00:00:00;2027-01-04T00:00:00
4.0.44;2025-10-10T00:00:00;2027-01-09T00:00:00
4.0.45;2025-10-10T00:00:00;2027-01-09T00:00:00
4.0.46;2025-10-10T00:00:00;2027-01-09T00:00:00
4.0.47;2025-10-10T00:00:00;2027-01-09T00:00:00
4.0.48;2025-10-11T00:00:00;2027-01-10T00:00:00
4.0.49;2025-10-11T00:00:00;2027-01-10T00:00:00
4.0.50;2025-10-11T00:00:00;2027-01-10T00:00:00
4.0.51;2025-10-12T00:00:00;2027-01-11T00:00:00
4.0.52;2025-10-13T00:00:00;2027-01-12T00:00:00
4.0.53;2025-10-13T00:00:00;2027-01-12T00:00:00
4.0.54;2025-10-14T00:00:00;2027-01-13T00:00:00
4.0.55;2025-10-14T00:00:00;2027-01-13T00:00:00
4.0.56;2025-10-14T00:00:00;2027-01-13T00:00:00
4.0.57;2025-10-14T00:00:00;2027-01-13T00:00:00
4.0.58;2025-10-15T00:00:00;2027-01-14T00:00:00
4.0.59;2025-10-16T00:00:00;2027-01-15T00:00:00
4.0.60;2025-10-16T00:00:00;2027-01-15T00:00:00
4.0.61;2025-10-16T00:00:00;2027-01-15T00:00:00
4.0.62;2025-10-24T00:00:00;2027-01-23T00:00:00
4.0.63;2025-10-26T00:00:00;2027-01-25T00:00:00
4.0.64;2025-10-29T00:00:00;2027-01-28T00:00:00
4.0.65;2025-10-31T00:00:00;2027-01-30T00:00:00
4.0.66;2025-10-31T00:00:00;2027-01-30T00:00:00
4.0.67;2025-10-31T00:00:00;2027-01-30T00:00:00
4.0.68;2025-11-04T00:00:00;2027-02-03T00:00:00
4.0.69;2025-11-05T00:00:00;2027-02-04T00:00:00
4.0.70;2025-11-11T00:00:00;2027-02-10T00:00:00
4.0.71;2025-11-11T00:00:00;2027-02-10T00:00:00
4.0.72;2025-11-11T00:00:00;2027-02-10T00:00:00
4.0.73;2025-11-11T00:00:00;2027-02-10T00:00:00
4.0.74;2025-11-11T00:00:00;2027-02-10T00:00:00
4.0.75;2025-11-11T00:00:00;2027-02-10T00:00:00
4.0.76;2025-11-11T00:00:00;2027-02-10T00:00:00
